,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,svalue
Bcl2l1,1609.51910611701,-0.125044350882436,0.0395493333461126,-3.81212819222902,0.000137775385182463,0.00653534544495945,0.986815895285295
Nek6,1049.44523503426,-0.1353919635102,0.0640783189816495,-3.30496651993981,0.000949877460534604,0.0259079077360813,0.988632435009172
Garnl3,528.35241294405,-0.141860549154925,0.10582748095179,-3.06350710110024,0.00218759013092362,0.0466859224194181,0.966474705154695
Ube2e3,1715.47291754938,-0.1429137263329,0.0520364781692959,-3.74667990001227,0.000179190507646158,0.00781987375367835,0.985975474267624
Hipk3,3906.25170344652,-0.154554524057164,0.0708160175636244,-3.58919672448792,0.000331698467380646,0.0124787251004236,0.988872004345122
Rcn1,9094.33172101481,-0.161043094350529,0.0666879862298243,-3.79216880299255,0.000149337344571496,0.00678862678864591,0.985881727437862
Eif3j2,1325.30370011265,-0.169186382146215,0.0694831114465035,-3.89845605675994,9.68079638808555e-05,0.00504904087556552,0.985433837411753
Creb3l1,4709.52701035107,-0.171393541471095,0.116267822072805,-3.35838410020498,0.000783995905179457,0.0231172846635348,0.96699853788641
Pmepa1,11134.3308768144,-0.172738621288899,0.088626017607905,-3.65156874205653,0.000260643310246833,0.0105319204251591,0.983183968349556
Myl9,1491.87079970219,-0.185343837762074,0.147388442357393,-3.28732827254909,0.00101142855636513,0.0269138671949843,0.957071271439543
Pkp4,806.289943476764,-0.202651062771494,0.104858513393307,-3.84961649704098,0.000118302906949324,0.0058667487037142,0.975440772380282
Kcnb1,1868.70323683634,-0.208440893334392,0.0929580511451561,-4.10678287778501,4.01208035605973e-05,0.00257481156968304,0.989707146319221
Acvr1,1729.32269146714,-0.227605545670321,0.0685560966270047,-5.04152678598481,4.61832194521543e-07,5.03858924223004e-05,0.980622994722057
Rspo4,48.4731813702028,-0.232906203178709,0.31339594154336,-3.09087694170036,0.00199566322950762,0.0461733335459995,0.536256554712608
Col5a1,39288.3251867448,-0.244716254862542,0.166982932320995,-3.60990471275323,0.000306309508374213,0.0119351312012952,0.955252261383819
Nacc2,1470.05908546104,-0.247122784878999,0.0842182008896902,-4.82473458711188,1.40189826740448e-06,0.000134344304303877,0.987561286364571
Celf1,1903.24744779419,-0.380395333389418,0.0810919585683757,-5.88339136020705,4.01943966797983e-09,8.770417355532e-07,0.985748356441999
Adamtsl2,16908.9754208453,-0.54433543614195,0.217381806819644,-4.24970333619764,2.14053821899552e-05,0.00155688479794941,0.725810194493964
Nkain4,280.248287661256,-0.598638195536352,0.115745275345771,-5.63150874245336,1.78639918805386e-08,3.07124281915619e-06,0.912042303820991
Ccdc3,141.724451912656,-0.709145646298925,0.396015034156055,-3.9931710100357,6.51955133211967e-05,0.00395157250185698,0.247934592030411
