,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,svalue
Prdx6b,530.492755574288,0.243608916586173,0.113222168931907,2.46403077004347,0.0137384316745644,0.028121255078705,0.814071690895359
Ndufaf5,206.279516776449,0.240644272811153,0.117761267598918,2.36206401767756,0.0181735036236832,0.0355327821746208,0.809556875447795
Ppp2r4,3360.2462906217,0.240633612112758,0.0462103930848644,5.34466068060307,9.05865879504096e-08,5.12072370227445e-07,0.916887538125799
Mettl8,161.577964312683,0.239931983181152,0.11960015601186,2.32772066208906,0.019926941260065,0.038615085106094,0.807000591905149
Dnlz,649.758444604509,0.239571049253209,0.0780099809796026,3.29409365809455,0.000987395923890467,0.00268640636649501,0.917915570480095
Eif3m,1847.68535943832,0.235435886892407,0.0606530803070562,4.05502992835365,5.01278842064272e-05,0.000178974229912942,0.856215440957633
Map1a,1824.25478477545,0.233276198168417,0.0984460284169012,2.63552820038676,0.00840064449987813,0.0181847284709663,0.837836963486052
Galk2,532.274763639843,0.229929329430219,0.108552509730496,2.40276547273672,0.016271619219893,0.0322769755798241,0.823577228168981
Commd3,974.607976071089,0.228943725669007,0.067270721652985,3.58820511720659,0.000332962300331095,0.0010062655669286,0.868889459839787
St6galnac4,508.131060788712,0.22347364487403,0.0703837074372899,3.36262422117319,0.000772053812857436,0.00213784444118645,0.877630162517134
Alkbh3,497.764784392705,0.219234620664984,0.0808476693447584,2.92032315561741,0.00349668589609011,0.00840388755243371,0.907830410870277
Swi5,2773.02807610684,0.219200151500282,0.0674524376087775,3.42593381325405,0.000612689661554212,0.00175906426514644,0.920997495031666
Vav2,1418.38940201518,0.218426760319559,0.0905387533588908,2.64276557360841,0.00822319481109134,0.0178715249778897,0.906835058935831
Urm1,755.558719301511,0.218378622768751,0.0705802276032889,3.27715935549984,0.00104857171231149,0.00282467095835021,0.858804033673616
Fam98b,646.49886652889,0.2167608083674,0.0690028301153144,3.31906347285166,0.000903198969875636,0.00247087339865308,0.911698326074288
Golga1,718.17323322944,0.215038960460897,0.0759968802505946,3.02236045062763,0.00250811696580808,0.00621899002203776,0.892564463978306
Ndufs3,1292.44030402385,0.214391614469791,0.0511200163630877,4.32550888886722,1.52180131629904e-05,5.86673228297614e-05,0.864567134339999
Nsfl1c,1742.80873587547,0.213986502265722,0.0576723203405998,3.85794827644955,0.000114342836970442,0.000381339512356468,0.85716765658043
Ino80,1279.90119281928,0.213941303789896,0.073101903162622,3.11145139290181,0.00186170120182896,0.00479036795093254,0.87586944543105
Rpn2,12971.8093668515,0.210380134563393,0.0482774231814415,4.47942355319216,7.48448889485697e-06,3.06976593394322e-05,0.912237298651658
Api5,2371.62308465896,0.207533524451103,0.0533069311118404,4.02503301063688,5.69673236904968e-05,0.000198354501011699,0.914583430271861
Agpat2,656.517178080936,0.20739212583329,0.0784811982118994,2.83325531639346,0.00460765678337656,0.0107643544982095,0.874240910458571
Fign,277.477189581352,0.20697577718668,0.0890561639230449,2.53795758260743,0.0111501497872982,0.0234477857869141,0.917444272320172
Rbm17,1223.14367758061,0.202563171872079,0.061378528524342,3.44711343779474,0.000566610618339171,0.00164407495906392,0.863062324721555
Mtch2,2362.88696974917,0.202334840091709,0.0519502581299372,4.01952990925998,5.83143788249224e-05,0.000201971388247589,0.918304227816837
Cdc123,1027.90311591151,0.201949273997534,0.0623252626221324,3.38879040153103,0.000702016490134429,0.00197396904829037,0.920925082103189
Spred1,2414.68575149796,0.201532311619434,0.0546899415717553,3.81554214711417,0.000135884258909433,0.000446535320693346,0.919897181591996
Ntmt1,493.698931782093,0.20027004444085,0.0795121372517855,2.7043259124471,0.0068443122709533,0.0152080339869859,0.896928631510848
Commd9,468.674525856193,0.200241641171325,0.0704307867536205,3.00850755695938,0.00262534272708026,0.00646557317210963,0.920340964519464
Ppp6c,797.715214533964,0.199120847255066,0.05857523870528,3.5369924574355,0.000404711223768549,0.00120639329270898,0.916485251282265
Tmem189,721.894748598733,0.19844502656807,0.086956331162011,2.48186268628736,0.0130697628959821,0.0269548418138308,0.91241549703003
