,s1.c2,s10.c2,s11.c2,s12.c2,s2.c2,s3.c2,s4.c2,s5.c2,s6.c2,s7.c2,s8.c2,s9.c2
Hat1,8.56311530889286,8.48052410787177,8.51314258387282,8.47092788112814,8.46845142909131,8.56196134269903,8.70436344831825,8.96339739200463,9.14607641233742,9.01994802272865,8.91976061985412,8.56853924840301
Rpl35,12.1964891170034,12.2699705611317,12.3399542958772,12.3960603304644,12.2931706009385,12.3359654724702,12.3232575511104,12.6940845944535,12.7002781659453,12.587499559668,12.5441014464406,12.3728456165585
Ppip5k1,10.1203488474882,10.1633354644063,10.1818585217136,10.128933955,10.1971381360656,10.1347422474582,10.0645490470314,9.81072397888889,9.70244838102711,9.74632121232718,9.86943897946759,10.1318491551218
Slco4a1,5.0444491805483,4.92622998176924,5.061479991069,5.11340713217057,4.90534205345268,5.06830751863228,5.10940254670659,5.65378376127977,5.92636881743061,5.62815334295126,5.53513117377537,5.05970791082446
Ino80,10.2832369959564,10.2706974103267,10.2605408017044,10.2624839230908,10.3071330615093,10.2601612552476,10.2338087938848,10.3875714719406,10.3696462037743,10.4267746186582,10.4511839586348,10.2766682077133
Sfmbt2,3.74082941370396,3.71604754514052,3.71333699249492,3.72501750771815,3.77374220130655,3.72616175273035,3.7461353712699,3.77487594250161,3.74610706737005,3.79639806859185,3.76474393482908,3.72019145761155
Blvra,8.24515192307647,8.37352595348978,8.38511219861313,8.38429899180519,8.27943166666777,8.31323885256953,8.30648799881335,8.45315511336945,8.43714268376517,8.39174925274006,8.39931331330418,8.39179326747679
Setx,10.4735972691427,10.5019122038416,10.4722060908527,10.4683841131181,10.5083415872706,10.5333749486479,10.5785646144624,10.601668376357,10.6062904290741,10.6109631806857,10.5695954926058,10.5412785746866
Snrnp200,12.2103877360639,12.2616662993802,12.2080327770598,12.1910224057427,12.1399924425915,12.2147901222525,12.2049093443283,12.18279132556,12.2575393886722,12.2363752313316,12.2632663805728,12.2660190690199
Zdhhc5,11.4942508087888,11.4347074970773,11.5314514841842,11.4411260282682,11.5176288858194,11.5223965703023,11.5589565571475,11.730384730491,11.7904933563698,11.68898168478,11.7427471538507,11.5181941999866
Uap1l1,9.61186846668168,9.74796955285215,9.80238069499961,9.81484430183533,9.67880542706508,9.68596290922467,9.73466788028349,9.74986929907269,9.73994640746006,9.67837778315302,9.61720920525848,9.80498362162292
Vps16,10.408972714732,10.4230204139298,10.4669267488504,10.4757612189223,10.366639880232,10.3172914359848,10.2762253599423,10.4059406225154,10.4486243782606,10.454066487587,10.4862980935577,10.4233713351749
AI182371,2.94857753921587,2.97125018426719,2.94979217255102,2.95861090294685,2.97579775071301,2.93634902117985,2.96502616659474,2.94871011030493,2.95274684097308,3.01365358222239,2.97615770641167,3.00250712643246
Cst3,15.3899366635375,15.3982678582696,15.4262521183164,15.4130086814296,15.4307384639476,15.3172774452134,15.4036664731018,15.0448705230553,14.9122735758107,14.9977503344981,14.9246047434964,15.306472711435
Gm14305,8.41802854918594,8.89866517170525,8.77130022921051,8.52792843616065,8.69718846295339,8.88860312410967,9.05484853978499,8.99414201967149,8.81188443555366,8.74783471689212,8.82496109426666,8.99556750135486
Wdr5,10.142274910689,10.0604380449316,10.1498752447487,10.0980872031569,10.1612220082889,10.1236216405291,10.1682036128364,10.2363177181503,10.2927017870993,10.240864955042,10.2480710243265,10.1357692114805
Naa20,9.59749540642805,9.61383143704444,9.58359164276614,9.63566098504572,9.6624794522765,9.66599536063232,9.66175672616266,9.77634422631931,9.74139966894937,9.76812355487185,9.72029284706194,9.64387092552296
Gm996,4.58741326528638,4.57818535818062,4.63941393604684,4.61063009099261,4.6233940269273,4.57739208102308,4.58720926795264,4.58281579766003,4.56920854627541,4.55398191431341,4.57294857243809,4.60055886843692
Pdss1,6.39492760483639,6.38441935701586,6.28952297786969,6.2982210357477,6.37444997522109,6.3315220288335,6.39689201790415,6.39535587830104,6.43157668983817,6.56940101537193,6.49533296842326,6.40016253893768
Tgm2,14.3387949343504,14.4403937201141,14.3962559877545,14.2521543555629,14.2161102404633,14.2522502358518,14.1982574150192,14.3636758529284,14.32384468614,14.3318424231111,14.5299368761353,14.2778778594387
Abhd12,10.6547362294945,10.6664412464364,10.6689061256522,10.6829955321762,10.7257315333896,10.6115430453834,10.6769846892611,10.5307745475765,10.4610908771098,10.5728144859002,10.4932834354984,10.6677528798648
Med27,8.78124264055742,8.79775710915021,8.81333703626155,8.7830951571705,8.75984662822379,8.77907390130155,8.78367267579806,8.79147941120407,8.84773693783186,8.81292973764276,8.83857284223731,8.83261862344438
Tor4a,8.65541720895005,8.64144340717917,8.81655257711904,8.69202913693408,8.6520505831186,8.60930245609694,8.68654075104703,8.67588792051303,8.6996599456644,8.56729890274618,8.61458404798105,8.66184880649907
Slc4a11,4.26430849469351,4.30917640897917,4.25604398477595,4.34361927741272,4.26578515855232,4.30829092141953,4.23722425095469,4.32063194258312,4.31337305799146,4.32399971932746,4.30749109715553,4.30339418824631
Slc4a10,2.86108741948656,2.90545957142139,2.93037034783098,2.96758183672958,2.96209725829788,2.89728416030404,2.8810749065093,2.88124302396796,2.88904627571381,2.92894859729806,2.9079463621942,3.01427266197856
Zfp133-ps,3.65001065584732,3.66144466621153,3.68355584828291,3.69034729358513,3.6368654428079,3.67618363274909,3.66217652131786,3.67020484820875,3.7048100093719,3.64338063735934,3.65059630348834,3.68290461433527
Vim,15.6932216712995,15.6655697194362,15.6818991128637,15.7298087620517,15.7213547295838,15.7517848512323,15.7743133286688,16.0042701002692,16.0345698585795,15.9878103435035,15.917372216879,15.7240025360308
Id1,9.24942680882293,9.22648215706909,9.44520754134827,9.3510061907769,9.44272632723385,9.30893709100214,9.38258949607511,9.55220671517638,9.42657481894827,9.34163867090079,9.3621876163992,9.2941497792519
Tmem62,8.25849204915095,8.41857194474568,8.37276349883148,8.34961432157274,8.3060493903505,8.25023767282816,8.2852383984257,8.16119395109726,8.0854947966403,8.18711496007683,8.17526341173803,8.39043013148827
Raly,11.7265301146301,11.7027878063612,11.7477045104796,11.7230173908096,11.6914022746593,11.744089687879,11.7900825044879,11.9315065386595,11.9863875847212,11.8887834673831,11.8674777704443,11.722541012452
Fam129b,11.4818725560937,11.3410354953993,11.4861099085036,11.3810829080773,11.4970563079591,11.4890088350382,11.4638533755977,11.9950185771482,12.0514357788212,11.9144088386378,12.0445912985045,11.4126364489377
Dut,8.66195773449673,8.60131187746915,8.70239913384247,8.73001044291829,8.57176593986243,8.71970578443783,8.72325646375004,9.07314921957452,9.28199423214835,9.03296713119964,9.0018051428116,8.71996509540867
D630003M21Rik,9.10274601931508,9.22740974049423,9.33623703989452,9.42617678618653,9.20259923113165,9.19755000055924,9.30643068707181,8.80356719620453,8.82899546069493,8.72521739186706,8.52639695906248,9.3526912168012
Itch,11.0707071181741,11.0080929501433,10.9944319675451,10.9653911325277,11.0422454919947,11.0810861163023,11.1198394011856,11.0118867282157,11.0222139205218,10.9970342788124,10.9873218289464,10.98995851627
Notch1,11.3979528259341,11.3133366112458,11.3465264790579,11.3328523723406,11.4108316793723,11.4906460207692,11.2983951311809,11.4000543984571,11.4105441015762,11.2975398923672,11.5034648886728,11.3367051678031
Gzf1,9.66283115921724,9.73614175571077,9.68813613056905,9.71875958277849,9.69814475048348,9.69086298677328,9.65383578591138,9.62474908911769,9.56400051525906,9.61928790411098,9.62569165276344,9.71070677311837
St6galnac6,10.9036180916361,10.8157982763607,10.8624409352732,10.8725919507186,10.8665049002703,10.8387052391461,10.8787065865798,10.6426031401726,10.6612654403571,10.6424224425688,10.5922700796897,10.7973473851794
St6galnac4,8.96075932684328,8.9001388758984,8.9700121214088,8.98322232473419,8.9375007328151,8.96906252656183,8.92078661731393,9.08562805035972,9.1154044739424,9.01396943468526,9.04903514060777,8.90665670545288
Olfml2a,7.25254380913345,7.41312719381943,7.50141021851541,7.72810435797414,7.4797918165561,7.57749722879226,7.37000965519217,7.17107048441691,7.20839627529218,7.02240783836005,7.00320127250142,7.67770099211736
Ttc30b,9.11454955433012,9.07630652673385,9.09028862610252,9.15224263066648,9.08041029293551,9.12990029769137,9.0905906917564,8.83861584312624,8.93289752195812,8.86942541783358,8.84678101920461,9.13644894417111
4930402H24Rik,11.2506361395595,11.2423787457395,11.1907341055556,11.1313138348361,11.2036236676906,11.2385917840822,11.3031696391631,11.0746040774264,11.0885824214145,11.1052589452068,11.1001013608454,11.2093446178587
Strc,3.28981232084758,3.2520394382862,3.26917727484686,3.26377099081289,3.26486668622392,3.25017658592479,3.24370987594562,3.24934560425131,3.27187295243902,3.26942521617748,3.28129821019062,3.24962115185024
Set,11.3686553308865,11.1558337665864,11.2781068203633,11.3108927579263,11.3590904909268,11.4121771485013,11.438010226868,11.7909726996496,11.9288687788561,11.7535090675047,11.6948900515749,11.2841650058332
Ganc,9.58456515261302,9.61761665092908,9.64210804597392,9.60494306801767,9.6379730260431,9.61548703265589,9.6008215737699,9.51821322859114,9.42865261643266,9.42664721477503,9.47847765161726,9.58146391220066
Emc4,9.54985285044198,9.56549316390119,9.57623186078333,9.62633486895028,9.56723522473972,9.59181517573819,9.53905896035523,9.61474438439475,9.60723428766137,9.57191563978076,9.57456884699677,9.57536544146553
Rtf1,10.6824041669307,10.6851291298462,10.6853135560471,10.6241248883867,10.6360895521746,10.6830944315281,10.7290853329788,10.6101262556598,10.6319872718481,10.5847979662937,10.5999957325034,10.6606755312784
Crat,10.6558290721313,10.5540588862772,10.5796866188245,10.6019959403601,10.6928350777545,10.6430460453649,10.6587848307999,10.5120551249867,10.4961895088977,10.52035080874,10.4823027017695,10.5751992758114
Rspo4,5.64083800963163,5.56169857453695,5.48244787577423,5.5162949764082,5.617605865094,5.67999969667049,5.6124802884937,5.55760774611865,5.56877163091857,5.5856284981048,5.61930080564761,5.54963031479923
Acvr2a,11.0540932621953,11.1283309921121,11.0165012195751,11.0893409523288,11.1826972508895,11.1623789211698,11.1950565332056,10.9872615469844,10.8530606556213,10.9852087578779,10.8796914130885,11.1227340894432
Optn,8.17423265890456,8.11018016462299,8.1009365291291,8.07172302712686,8.20692587482142,8.1103328629457,8.1272329867842,8.00170613277775,7.95769384500363,8.06353049237325,8.07584387053697,8.09886109276572
1110034G24Rik,7.38734624777119,7.47408144028859,7.50777820545151,7.52566284503358,7.44936917997679,7.42179888320668,7.40849412063372,7.35881985923604,7.30961397556255,7.30348750716975,7.29890763016065,7.48689848882069
Tmem230,9.19371332008746,9.16887208889468,9.15511074028956,9.1369454456853,9.16673151991925,9.14453684922028,9.13974431167982,9.10871176671399,9.05933551169942,9.09529153100351,9.11824936314823,9.09251403371189
Atp5g3,11.1249854420868,11.1178482340481,11.1233416235265,11.1322734407825,11.2033335108552,11.1969890377609,11.2549706060215,11.5486362023762,11.4839687358606,11.4848198194766,11.41790643396,11.131528836301
Mcm8,5.92347214839615,5.90326436687949,5.9197883309068,5.89702661869491,5.81440653647932,5.85646698879884,5.89888609265426,6.14155700557681,6.2164356899446,6.15785127359776,6.13819388195423,5.86907743933043
Ciz1,10.6010312557194,10.5529166832963,10.5602881639316,10.6624490724938,10.5412572596121,10.5642304718304,10.4448630177034,10.5598578281717,10.6154336846602,10.5850889918065,10.6022955373713,10.5487185436774
Mtx2,9.34217594825511,9.34144018813366,9.29564077910356,9.30227591378535,9.29750765836377,9.29737557897854,9.35057800250486,9.48416988357107,9.48906219916471,9.53499368758005,9.47515612937194,9.30166421383595
Pdrg1,10.0862606493524,10.1604058838036,10.2300465567775,10.1508443473782,10.0839332192685,10.0823812590563,10.0466810259194,10.1372100601475,10.121857335726,10.0537686229643,10.1686710655005,10.1427257292983
Dnlz,9.35505643113152,9.27085781300828,9.33268808764733,9.34272265370521,9.24702106192801,9.2736355008315,9.28071598465656,9.42086221185857,9.49494984958978,9.40650513604724,9.38939008616429,9.23691008153597
Pdyn,3.96721771431393,3.96400585960618,3.97326736730291,3.97690943289982,3.93630148436895,3.94544193788903,3.95605195965889,4.08492894974403,4.13420047292412,4.11579851170732,4.10154642434055,3.98236115284129
Cd44,11.3795814970497,11.4478534509337,11.537845542137,11.3406722590844,11.3266647534194,11.2955464854227,11.4393837375064,12.1937915297826,12.2737068074605,12.2148329842538,12.2681690152228,11.4748519849813
Urm1,9.49264230142878,9.515757295204,9.60068186219736,9.53490182356762,9.54413638227748,9.49441960602864,9.46549027453025,9.66251288904778,9.61100406566594,9.57579627492142,9.67050564504956,9.51574255267085
Cd40,10.2208563147153,10.2806757165707,10.1808997871702,10.1094415136571,10.2470101683324,10.2042369028251,10.1344234801655,9.82638955342667,9.65462321020962,9.79717240511743,9.93844410129015,10.1350632269708
Rnf114,10.3624725674871,10.3417785270219,10.4081832362527,10.361766815559,10.4066275618411,10.3265497945188,10.2761704099679,10.6555021366492,10.6646530165905,10.678326074682,10.7751218799267,10.3950844013172
Sec16a,12.038280144392,12.0247443971302,12.0370226717846,12.0313114086203,12.072358461675,12.0810521479924,12.0350076960413,12.1069798809212,12.1581409906681,12.1371690296963,12.1889247448116,12.10998382416
Scai,8.73882306568678,8.6884811687512,8.5579869300474,8.71632619466398,8.88379943475735,8.77975629704632,8.76673253959344,8.65398758518814,8.56971564782304,8.80425302423787,8.65893751707417,8.74918560045666
Rassf2,9.80619303984627,9.94238418791015,10.0694909514929,10.1711897644636,10.0935449123536,10.1091606957455,10.0974022358497,10.0034390253512,9.97137507562504,9.82865252865044,9.73871217557554,10.1976721106913
